Sample, FPS
0, 2
1, 3
2, 2
3, 2.5
4, 3
5, 3.5
6, 4
7, 4.5
8, 5
9, 5.5
10, 6
11, 6.5
12, 7
13, 7.5
14, 8
15, 8.5
16, 9
17, 9.5
18, 10
19, 10.5
20, 11
21, 11.5
22, 12
23, 12.5
24, 13
25, 13.5
26, 14
27, 14.5
28, 15
29, 15.5
30, 16
31, 16.5
32, 11.3333
33, 11.6667
34, 12
35, 12.3333
36, 12.6667
37, 13
38, 13.3333
39, 13.6667
40, 14
41, 14.3333
42, 14.6667
43, 15
44, 15.3333
45, 15.6667
46, 16
47, 16.3333
48, 16.6667
49, 17
50, 17.3333
51, 17.6667
52, 18
53, 18.3333
54, 18.6667
55, 19
56, 19.3333
57, 19.6667
58, 20
59, 20.3333
60, 20.6667
61, 15.75
62, 16
63, 16.25
64, 16.5
65, 16.75
66, 17
67, 17.25
68, 17.5
69, 17.75
70, 18
71, 18.25
72, 18.5
73, inf
74, inf
75, inf
76, inf
77, 5
78, 6
79, 7
80, 8
81, 9
82, 10
83, 3.66667
84, 3
85, 2.16667
86, 2
87, 2.14286
88, 2
89, 1.88889
90, 1.8
91, 1.9
92, 1.81818
93, 1.75
94, 1.69231
95, 1.53333
96, 1.5
97, 1.47059
98, 1.52941
99, 1.42105
100, 1.47368
101, 1.52632
102, 1.57895
103, 1.63158
104, 1.68421
105, 1.65
106, 1.7
107, 1.75
108, 1.8
109, 1.85
110, 1.9
111, 1.85714
112, 1.90476
113, 1.86364
114, 1.82609
115, 1.79167
116, 1.83333
117, 1.73077
118, 1.76923
119, 1.74074
120, 1.71429
121, 1.63333
122, 1.66667
123, 1.7
124, 1.73333
125, 1.76667
126, 1.74194
127, 1.77419
128, 1.80645
129, 1.83871
130, 1.87097
131, 1.90323
132, 1.875
133, 1.90625
134, 1.9375
135, 1.96875
136, 2
137, 2.03125
138, 2
139, 2.0303
140, 2.06061
141, 2.09091
142, 2.12121
143, 2.15152
144, 2.11765
145, 2.14706
146, 2.17647
147, 2.20588
148, 2.23529
149, 2.26471
150, 2.22857
151, 2.25714
152, 2.28571
153, 2.31429
154, 2.34286
155, 2.30556
156, 2.33333
157, 2.36111
158, 2.32432
159, 2.35135
160, 2.31579
161, 2.34211
162, 2.36842
163, 2.39474
164, 2.42105
165, 2.44737
166, 2.47368
167, 2.4359
168, 2.46154
169, 2.48718
170, 2.51282
171, 2.53846
172, 2.5641
173, 2.58974
174, 2.61538
175, 2.575
176, 2.6
177, 2.625
178, 2.58537
179, 2.54762
180, 2.51163
181, 2.53488
182, 2.55814
183, 2.5814
184, 2.60465
185, 2.56818
186, 2.59091
187, 2.61364
188, 2.57778
189, 2.54348
190, 2.56522
191, 2.58696
192, 2.6087
193, 2.57447
194, 2.59574
195, 2.5625
196, 2.58333
197, 2.55102
198, 2.57143
199, 2.59184
200, 2.61224
201, 2.58
202, 2.6
203, 2.62
204, 2.64
205, 2.66
206, 2.68
207, 2.64706
208, 2.66667
209, 2.68627
210, 2.65385
211, 2.67308
212, 2.69231
213, 2.71154
214, 2.73077
215, 2.75
216, 2.71698
217, 2.73585
218, 2.75472
219, 2.77358
220, 2.74074
221, 2.75926
222, 2.77778
223, 2.74545
224, 2.71429
225, 2.63793
226, 2.65517
227, 2.67241
228, 2.68966
229, 2.7069
230, 2.72414
231, 2.74138
232, 2.71186
233, 2.72881
234, 2.7
235, 2.71667
236, 2.73333
237, 2.70492
238, 2.72131
239, 2.7377
240, 2.7541
241, 2.77049
242, 2.78689
243, 2.80328
244, 2.77419
245, 2.79032
246, 2.7619
247, 2.73438
248, 2.70769
249, 2.68182
250, 2.69697
251, 2.71212
252, 2.72727
253, 2.74242
254, 2.75758
255, 2.77273
256, 2.74627
257, 2.76119
258, 2.77612
259, 2.79104
260, 2.80597
261, 2.8209
262, 2.83582
263, 2.85075
264, 2.82353
265, 2.83824
266, 2.85294
267, 2.86765
268, 2.88235
269, 2.89706
270, 2.86957
271, 2.88406
272, 2.89855
